#,Node,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
63,gw2,Regression,FtOtSoRtBgpPlFn014,Pass,Mapped,2024-01-03 01:43:03,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",
64,gw2,Regression,FtOtSoRtBgpPlFn012,Pass,Mapped,2024-01-03 01:43:03,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",
65,gw2,Regression,FtOtSoRtBgpPlFn007,Pass,Mapped,2024-01-03 01:43:18,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",
66,gw2,Regression,FtOtSoRtBgpPlFn016,Pass,Mapped,2024-01-03 01:43:33,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv6,routing/BGP/test_bgp.py,"V3, V4",
67,gw2,Regression,FtOtSoRtBgpPlFn018,Pass,Mapped,2024-01-03 01:43:48,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_out_ipv6,routing/BGP/test_bgp.py,"V3, V4",
68,gw2,Regression,bgp_default_ipv6,Pass,Mapped,2024-01-03 01:44:04,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv6,routing/BGP/test_bgp.py,"V3, V4",
69,gw2,Regression,FtOtSoRtBgpPlFn038,Fail,Mapped,2024-01-03 01:44:24,Entry not found,TestBGPIPvxRouteAdvertisementFilter.test_route_map_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",
70,gw2,Regression,FtOtSoRtBgp4Fn016,Pass,Mapped,2024-01-03 01:44:49,The operation is successful,TestBGPIPvxRouteAdvertisementFilter.test_bgp_route_map_with_community,routing/BGP/test_bgp.py,"V3, V4",
71,gw3,VRF-Lite,FtOpSoRoVrfScl056,Pass,Mapped,2024-01-03 01:45:18,Test case passed,test_vrf_bgp,routing/VRF/test_vrf_scale.py,"V1, V2",
72,gw2,Regression,FtOtSoRtBgp4Fn014,Pass,Mapped,2024-01-03 01:45:21,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_bgp_ebgp4_nbr_update_source,routing/BGP/test_bgp.py,"V3, V4",
73,gw2,Regression,FtOtSoRtBgp4Fn015,Pass,Mapped,2024-01-03 01:51:53,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_bgp_ebgp4_nbr_authentication,routing/BGP/test_bgp.py,"V3, V4",
74,gw2,Regression,FtOtSoRtBgpPlFn002,Pass,Mapped,2024-01-03 01:52:18,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_route_aggregate_ipv6,routing/BGP/test_bgp.py,"V3, V4",
75,gw2,Regression,FtOtSoRtBgpPlFn005,Pass,Mapped,2024-01-03 01:52:37,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_static_blackhole_rt_redistribute_with_routemap_ipv6,routing/BGP/test_bgp.py,"V3, V4",
76,gw2,Regression,bgp_lag_clear,Pass,Mapped,2024-01-03 01:54:26,Test case passed,TestBGPVeLag.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V3, V4",
