#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
50,Regression,FtOtSoRtBgp4Fn070,Pass,Mapped,2023-12-28 23:25:41,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
51,Regression,FtOtSoRtBgp4Fn069,Pass,Mapped,2023-12-28 23:25:41,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
52,Regression,bgpl3lag_traffic,Pass,Mapped,2023-12-28 23:30:14,Test case passed,TestBGPL3Lag.test_ft_bgp_l3lag_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
53,sFlow Hardening,FtOpSfFn008,Pass,SubTest,2023-12-28 23:36:50,Successfully verified sFlow sampling functionality.,test_ft_sflow_sampling_v6_sFlow_collector,system/test_sflow.py,"V3, V4",
54,sFlow Hardening,FtOpSfFn004,Fail,SubTest,2023-12-28 23:36:50,sFlow collector failed to receive sflow sample packets with default sampling rate.,test_ft_sflow_sampling_v6_sFlow_collector,system/test_sflow.py,"V3, V4",
55,sFlow Hardening,FtOpSfFn005,Pass,Mapped,2023-12-28 23:37:22,Successfully verified sFlow sampling functionality.,test_ft_sflow_max_sflow_collector_config,system/test_sflow.py,"V3, V4",
56,sFlow Hardening,FtOpSfFn017,Pass,Mapped,2023-12-28 23:38:44,Test case passed,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow,system/test_sflow.py,"V3, V4",
57,Regression,FtOpSoRtIpv4Fn003,TGenFail,Mapped,2023-12-28 23:48:37,Traffic generator API Failed with status 209 TX Counter raw_pkt_count is zero for port: port-9,test_l3_v4_route_po_1,routing/test_ip.py,"V3, V4",
58,Regression,ft_ipv4_address_check ,Fail,Mapped,2023-12-28 23:48:46,Failed to ping ip address 192.168.2.1,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V3, V4",
59,Regression,ft_ipv6_address_check ,Fail,Mapped,2023-12-28 23:48:46,Failed to ping ip address 192.168.2.1,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V3, V4",
60,Regression,ft_ping_vlan ,Fail,Mapped,2023-12-28 23:48:46,Failed to ping ip address 192.168.2.1,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V3, V4",
61,Regression,CETA_SONIC_40640,Fail,Mapped,2023-12-28 23:48:52,Portchannel PortChannel100 on V4 state Up verification failed.,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
62,Regression,ft_ip_address_check_pc,Fail,Mapped,2023-12-28 23:48:52,Portchannel PortChannel100 on V4 state Up verification failed.,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
63,Regression,ft_ip6_address_check_pc,Fail,Mapped,2023-12-28 23:48:52,Portchannel PortChannel100 on V4 state Up verification failed.,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
64,Regression,ft_ping6_after_ip_change,Fail,Mapped,2023-12-28 23:48:52,Portchannel PortChannel100 on V4 state Up verification failed.,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
65,Regression,ft_ping_after_ip_change,Fail,Mapped,2023-12-28 23:48:52,Portchannel PortChannel100 on V4 state Up verification failed.,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
