Feature,Regression?,TestCase,Result,Description,Function,Module,Devices,Analisis,DUT Defect ID,SQA Defect ID,Engineer,Only Pending
Regression,,ft_ip_static_route_traffic_forward,Pass,Test case passed,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V3, V4",,,,,
RIF Counters,,RIF_COUNT_FUNC_001,Pass,rif counters update Successful on Physical_Interface routing interface,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V3, V4",,,,,
RIF Counters,,RIF_COUNT_FUNC_021,Pass,rif counters update Successful on Phy_Shut_noShut routing interface,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V3, V4",,,,,
Regression,,ft_ip6_L2_L3_translation,Pass,Test case passed,test_ft_ip_v4_v6_L2_L3_translation,routing/test_ip.py,"V3, V4",,,,,
Regression,,ft_ip_L2_L3_translation,Pass,Test case passed,test_ft_ip_v4_v6_L2_L3_translation,routing/test_ip.py,"V3, V4",,,,,
Regression,,ipv6_intf_order,Pass,Test case passed,test_ft_verify_interfaces_order,routing/test_ip.py,"V3, V4",,,,,
Regression,,ipv4_intf_order,Pass,Test case passed,test_ft_verify_interfaces_order,routing/test_ip.py,"V3, V4",,,,,
Regression,,FtOpSoRtPerfFn052,ConfigFail,pre-test configuration failed Failed to Establish BGP IPv4 peer 10.10.10.2 @5430,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V2,,,,,
Regression,,FtOpSoRtPerfFn053,ConfigFail,pre-test configuration failed Failed to Establish BGP IPv4 peer 10.10.10.2 @5430,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V2,,,,,
L3 Performance enhancements,,FtOpSoRtPerfFn026,ConfigFail,pre-test configuration failed Failed to Establish BGP IPv4 peer 10.10.10.2 @5430,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V2,,,,,
L3 Performance enhancements,,FtOpSoRtPerfFn025,ConfigFail,pre-test configuration failed Failed to Establish BGP IPv4 peer 10.10.10.2 @5430,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V2,,,,,
Regression,,FtOpSoRtPerfFn055,Pass,Test case passed,test_cli_validation_ip_address,routing/test_l3_performance.py,V2,,,,,
Regression,,FtOpSoRtPerfFn054,Pass,Test case passed,test_cli_validation_ip_address,routing/test_l3_performance.py,V2,,,,,
Regression,,FtOpSoRtPerfFn057,Pass,Test case passed,test_cli_validation_bgp_router_config,routing/test_l3_performance.py,V2,,,,,
Regression,,FtOpSoRtPerfFn056,Pass,Test case passed,test_cli_validation_bgp_router_config,routing/test_l3_performance.py,V2,,,,,
NAT,,ft_static_nat_docker_restart,EnvFail,module configuration failed. Console hang observed. Exiting. @5445,test_ft_nat_docker_restart,routing/NAT/test_nat.py,V1,,,,,
NAT,,ft_static_napt_docker_restart,EnvFail,module configuration failed. Console hang observed. Exiting. @5445,test_ft_nat_docker_restart,routing/NAT/test_nat.py,V1,,,,,
NAT,,ft_dynamic_napt_docker_restart,EnvFail,module configuration failed. Console hang observed. Exiting. @5445,test_ft_nat_docker_restart,routing/NAT/test_nat.py,V1,,,,,
Regression,,FtOtSoRtBgpPlFn025,Pass,Test case passed,TestBGPRrTraffic.test_ft_bgp6_rr_traffic_check,routing/BGP/test_bgp_rr_traffic.py,"V3, V4",,,,,
Sanity,,l2_to_l3_port,Fail,Failed to port L2 config to L3 config,test_l2_to_l3_port,sanity/test_sanity_l3.py,"V3, V4",,,,,
Regression,,ft_ecn_config_to_config_db_json_after_save_and_reboot,Pass,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V2,,,,,
Regression,,ft_ecn_config_db_to_running_config_after_save_and_reload,Pass,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V2,,,,,
Regression,,ft_acl_configvalues_save_reload,Pass,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V2,,,,,
Regression,,FtOpSoQosWredCfg001,Pass,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V2,,,,,
Regression,,FtOpSoQosEcnCfg001,Pass,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V2,,,,,
Regression,,FtOpSoQosAclCmFn002,Pass,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V2,,,,,
Regression,,FtOpSoQosAclCmFn001,Pass,Test case passed,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,qos/test_qos_save_reboot.py,V2,,,,,
