#,Node,Module,Function,Result,Test Time,Helper Time,CMD Time,TG Time,Wait,TGWait,PROMPT NFOUND,TECH SUPPORT,Description
67,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_route_distribution,,0:01:43,0:00:00.000,0:01:12.504,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
68,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_route_distribution,Pass,0:00:24,0:00:00.000,0:00:11.608,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
69,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_with_rr,Pass,0:00:50,0:00:00.000,0:00:20.931,0:00:00.000,0:00:10,0:00:00,0,0,Test case passed
70,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_confed_route_distribution_with_rmap,Pass,0:00:40,0:00:00.000,0:00:17.403,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
71,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ibgp_RR_Loop,Pass,0:00:38,0:00:00.000,0:00:36.958,0:00:00.000,0:00:05,0:00:00,0,0,Test case passed
72,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ebgp_community_map,Pass,0:04:18,0:00:00.000,0:00:54.463,0:00:00.000,0:03:00,0:00:00,0,0,Test case passed
73,gw3,routing/VRF/test_vrf.py,test_VrfFun001_06,,0:08:10,0:00:00.000,0:02:46.403,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
74,gw3,routing/VRF/test_vrf.py,test_VrfFun001_06,Fail,0:00:40,0:00:00.000,0:00:26.793,0:00:00.000,0:00:00,0:00:00,0,0,STEP 12 FAIL: IPv4 BGP session on VRF-102 did not come up
75,gw3,routing/VRF/test_vrf.py,test_VrfFun_26_27,Pass,0:00:29,0:00:00.000,0:00:10.863,0:00:00.000,0:00:05,0:00:00,0,0,Test case passed
76,gw3,routing/VRF/test_vrf.py,test_VrfFun_10_12_14,Fail,0:02:18,0:00:00.000,0:02:03.543,0:00:00.000,0:00:00,0:00:00,0,0,Static route between VRFs failed for VRf-101  VRF-102 and VRF-103. STEP 3 FAIL: IPv4 Ping from Vrf-102-DUT1 to Vrf-102-DUT2 failed after static route configuration. STEP 4 FAIL: IPv6 Ping from Vrf-102-DUT1 to Vrf-102-DUT2 failed after static route configuration. STEP 5 FAIL: IPv4 Ping from Vrf-103-DUT1 to Vrf-103-DUT2 failed after static route configuration. STEP 6 FAIL: IPv6 Ping from Vrf-103-DUT1 to Vrf-103-DUT2 failed after static route configuration
77,gw3,routing/VRF/test_vrf.py,test_VrfFun_20_24_25_32_33_44_45,Fail,0:01:02,0:00:00.000,0:00:58.977,0:00:00.000,0:00:00,0:00:00,0,0,Static route between VRFs failed for VRf-101  VRF-102 and VRF-103. STEP 1 FAIL: IPv4 BGP session on VRF-102 did not come up. STEP 2 FAIL: IPv6 BGP session on VRF-102 did not come up. STEP 3 FAIL: IPv4 BGP session on VRF-103 did not come up. STEP 4 FAIL: IPv6 BGP session on VRF-103 did not come up
78,gw3,routing/VRF/test_vrf.py,test_VrfFun_05_50,Fail,0:06:56,0:00:00.000,0:01:35.888,0:00:00.000,0:04:16,0:00:00,0,0,Save and reload with VRF configuration failed. STEP 1 FAIL: IPv4 BGP session on VRF-102 did not come up. STEP 2 FAIL: IPv6 BGP session on VRF-102 did not come up. STEP 3 FAIL: IPv4 BGP session on VRF-103 did not come up. STEP 4 FAIL: IPv6 BGP session on VRF-103 did not come up. STEP 5 FAIL: IPv4 BGP session on VRF-102 did not come up. STEP 6 FAIL: IPv6 BGP session on VRF-102 did not come up. STEP 7 FAIL: IPv4 BGP session on VRF-103 did not come up. STEP 8 FAIL: IPv6 BGP session on VRF-103 did not come up
79,gw3,routing/VRF/test_vrf_scale.py,test_vrf_scale,,0:23:23,0:41:18.882,0:01:21.916,0:00:00.000,0:00:30,0:00:00,0,0,Module Configuration
80,gw3,routing/VRF/test_vrf_scale.py,test_vrf_scale,Fail,0:07:40,0:00:00.000,0:00:03.684,0:00:00.000,0:00:05,0:00:00,1,0,Command 'show vrf' failed to give prompt  recovered using CTRL+C
81,gw3,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,Pass,0:02:08,0:00:00.000,0:00:50.704,0:00:00.000,0:01:00,0:00:10,0,0,Test case passed
82,gw3,routing/VRF/test_vrf_scale.py,test_vrf_bgp,Fail,0:12:46,0:00:00.000,0:13:40.538,0:00:00.000,0:00:10,0:00:00,0,0,Test case Failed.
83,gw3,routing/VRF/test_vrf_scale.py,test_vrf_reload,Fail,0:10:09,0:00:00.000,0:02:56.511,0:00:00.000,0:00:00,0:00:00,1,0,Command 'show vrf' failed to give required prompt  recovered using CR
